SYMBOL	mean	std
ACE2	0.30042526	0.61447763
ACER1	0.2084929	0.36742818
ACER2	2.6160746	1.0927961
ACER3	5.0076065	0.8469378
ACHE	1.1498207	0.9214462
ACIN1	7.4072223	0.4110119
ACKR1	3.4461455	1.992488
ACKR2	1.7540194	1.2747521
ACKR3	4.5951676	1.0477301
ACKR4	1.2156855	0.7210678
ACLY	7.6653757	0.641757
ACMSD	0.5943311	0.8321537
ACO1	5.5549674	0.6364977
ACO2	6.2090354	0.62883264
ACOT1	2.5059276	0.895853
ACOT11	1.5332134	0.78059816
ACOT12	0.03715988	0.07808623
ACOT13	4.410313	0.47138426
ACOT2	4.368927	0.7165113
ACOT4	3.6203942	1.0519854
ACOT6	0.10065745	0.18540238
ACOT7	4.867519	0.8455436
ACOT8	3.9707642	0.50115764
ACOT9	4.816302	0.7493579
ACOX1	6.2555037	0.55145246
ACOX2	3.685814	1.7983994
ACOX3	5.050313	0.7965408
ACOXL	1.7581724	0.62023675
ACOXL-AS1	0.5665279	0.3500894
ACP1	6.4195576	0.45068663
ACP2	5.830609	0.5776209
ACP4	0.15196137	0.21540742
ACP5	5.821453	1.1331837
ACP6	4.3856745	0.7995195
ACP7	0.28152242	0.6297028
ACR	0.30566245	0.3070335
ACRBP	1.5957783	0.54150236
ACRV1	0.31568933	0.2815088
ACSBG1	0.32479465	0.451145
ACSBG2	0.31531793	0.24040751
ACSF2	5.3395557	1.1263168
ACSF3	4.277785	0.59797174
ACSL1	6.4373918	1.1407554
ACSL3	7.4662786	0.7614251
ACSL4	5.032698	0.96504176
ACSL5	3.989399	1.0849489
ACSL6	1.02146	0.925549
ACSM1	1.6973599	1.28083
ACSM2A	0.047451675	0.19457792
ACSM2B	0.046840798	0.16340886
ACSM3	1.8737693	0.87397975
ACSM4	0.35714382	0.41855106
ACSM5	1.1366166	0.66786885
ACSS1	5.6118274	1.0922166
ACSS2	5.427989	0.5869871
ACSS3	4.0941668	1.3501906
ACTA1	1.350644	1.4053934
ACTA2	6.714588	1.1528465
ACTB	12.207124	0.556991
ACTBL2	0.21815981	0.37085447
ACTC1	0.28311598	0.5217166
ACTG1	11.852183	0.50859946
ACTG1P20	0.3812592	0.3637023
ACTG2	3.9968774	2.0677266
ACTL10	0.05971384	0.06313317
ACTL6A	5.7567406	0.60497445
ACTL6B	0.13491514	0.6345322
ACTL7A	0.005220604	0.019779036
ACTL7B	0.012785564	0.030313008
ACTL8	0.87049603	1.5044602
ACTL9	0.002953113	0.013365203
ACTN1	8.257424	0.73006177
ACTN2	0.8552671	1.1947278
ACTN3	0.15258203	0.3117157
ACTN4	8.915249	0.59330755
ACTR10	5.8588676	0.42242163
ACTR1A	6.954729	0.39216456
ACTR1B	5.9985023	0.48136488
ACTR2	8.364219	0.52768505
ACTR3	7.8011203	0.5225136
ACTR3B	3.5742526	0.8326814
ACTR3BP2	0.0011473274	0.024813583
ACTR3BP5	0.0009410801	0.01428985
ACTR3C	1.8272547	0.596712
ACTR5	3.8110437	0.4740574
ACTR6	4.981559	0.52318877
ACTR8	4.6862583	0.45957875
ACTRT1	0.005224309	0.03352279
ACTRT2	0.0017684475	0.018319113
ACTRT3	1.4709109	0.5281268
ACVR1	5.4678	0.58076686
ACVR1B	5.9218183	0.64945257
ACVR1C	1.2903632	1.0069757
ACVR2A	3.8142674	0.65624255
ACVR2B	4.2794986	0.74116
ACVRL1	4.5069613	0.703729
ACY1	0.27123505	0.16027081
ACY3	0.83382195	0.92106044
ACYP1	2.7078798	0.57639694
ACYP2	3.399116	0.5691267
ADA	3.0274296	0.7595698
ADA2	5.6880884	1.1353786
ADAD1	0.016275672	0.100399695
ADAD2	0.1339057	0.19991726
ADAL	3.362516	0.5936336
ADAM10	6.863785	0.5949083
ADAM11	0.82688934	0.60768956
ADAM12	6.3001637	1.4002761
ADAM15	7.8483944	0.8024884
ADAM17	5.0189767	0.70467937
ADAM18	0.04775166	0.269201
ADAM19	4.429852	1.0230846
ADAM2	0.14507101	0.5792358
ADAM20	0.12700094	0.28733802
ADAM20P1	0.3629436	0.32235402
ADAM21	0.47505587	0.41791406
ADAM22	3.0979707	1.0311589
ADAM23	1.8282056	0.81674016
ADAM28	3.2215106	1.0471423
ADAM29	0.27543828	0.71257466
ADAM30	0.0070702094	0.04777342
ADAM32	1.5935853	1.0096288
ADAM33	2.0684721	1.2005352
ADAM3A	0.0137259215	0.10474986
ADAM5	0.020012379	0.16983694
ADAM6	0.002662854	0.02544021
ADAM7	0.024894413	0.21322969
ADAM8	4.3091383	1.1227185
ADAM9	6.6534486	1.1047162
ADAMDEC1	2.5080304	1.59382
ADAMTS1	5.217819	1.3137387
ADAMTS10	2.9645076	0.95172065
ADAMTS12	5.14698	1.23473
ADAMTS13	2.3827126	0.8628471
ADAMTS14	2.716	1.0468336
ADAMTS15	5.093163	2.0985587
ADAMTS16	2.738464	1.6110955
ADAMTS17	2.1180167	1.0183996
ADAMTS18	1.2505666	1.118493
ADAMTS19	1.0049355	1.1412699
ADAMTS2	6.157432	1.251447
ADAMTS20	0.22795016	0.45032394
ADAMTS3	1.5431842	0.84845024
ADAMTS4	5.064687	1.0864486
ADAMTS5	3.5529907	1.1430259
ADAMTS6	2.0921845	0.8258599
ADAMTS7	3.3196213	0.8803437
ADAMTS7P1	0.15541148	0.15341523
ADAMTS8	1.1508335	1.0281684
ADAMTS9	3.8421338	1.0118647
ADAMTSL1	2.8033397	0.90296614
ADAMTSL2	3.2338822	0.9517228
ADAMTSL3	2.8446078	1.1168656
ADAMTSL4	2.8488955	1.022691
ADAMTSL5	2.0118492	1.0503109
ADAP1	1.9314924	0.918677
ADAP2	3.7318535	0.6867288
ADAR	9.197972	0.6283747
ADARB1	4.801293	0.61384606
ADARB2	0.6589013	0.7804294
ADARB2-AS1	0.13580382	0.5256202
ADAT1	4.6266713	0.5824619
ADAT2	2.642529	0.7022422
ADAT3	1.1227746	0.5922471
ADCK1	3.340696	0.50150514
ADCK2	5.2088637	0.53753144
ADCK5	3.466925	0.85760224
ADCY1	4.428791	2.0428023
ADCY10	0.56965405	0.5791178
ADCY10P1	2.0744843	0.78938174
ADCY2	2.549506	1.5830729
ADCY3	4.6130624	0.8424959
ADCY4	3.2166417	0.9347341
ADCY5	3.2045934	1.8145978
ADCY6	5.9358573	0.84748805
ADCY7	3.0741158	1.0407459
ADCY8	0.15194458	0.53492
ADCY9	5.5272236	0.97111106
ADCYAP1	0.87945426	1.1102922
ADCYAP1R1	1.3952898	0.88848317
ADD1	7.835532	0.46929893
ADD2	2.1687691	1.2497487
ADD3	5.7050242	1.0531242
ADGB	0.17428595	0.36153382
ADGRA1	0.04389663	0.1699733
ADGRA2	4.7555823	1.0367016
ADGRA3	4.9234176	0.86814857
ADGRB1	1.4772226	1.0250965
ADGRB2	4.477671	1.5917042
ADGRB3	0.36644292	0.46237972
ADGRD1	1.7426218	0.99540806
ADGRD2	0.29721573	0.6972693
ADGRE1	1.0745775	0.6210883
ADGRE2	2.4539592	0.8843598
ADGRE3	0.17337696	0.30816022
ADGRE4P	0.4197789	0.37022585
ADGRE5	4.725305	0.953514
ADGRF1	1.0213134	1.1867006
ADGRF2	0.11467921	0.2762529
ADGRF3	0.6495963	0.39710185
ADGRF4	0.5535872	0.7985114
ADGRF5	5.019228	0.86881834
ADGRG1	7.1593966	0.8972917
ADGRG2	1.3820585	1.092684
ADGRG3	0.5148588	0.5155816
ADGRG4	0.046401434	0.120151736
ADGRG5	1.4788122	0.96660465
ADGRG6	3.4389665	1.5760714
ADGRG7	0.15091056	0.69963145
ADGRL1	5.940397	0.8473689
ADGRL2	4.8497725	1.1393265
ADGRL3	1.389417	1.1025448
ADGRV1	3.540644	1.9744658
ADH1A	0.10220323	0.18492286
ADH1B	3.3630624	2.5575573
ADH1C	0.8658376	0.94347566
ADH4	0.13803935	0.28019205
ADH5	6.6176176	0.41645664
ADH6	0.24981737	0.26801795
ADH7	0.104218476	0.56119126
ADHFE1	1.221796	0.67904
ADI1	5.951871	0.72882414
ADIG	0.0098923305	0.035148107
ADIPOQ	2.7666273	2.398638
ADIPOR1	7.6313486	0.53691745
ADIPOR2	7.171531	0.8848839
ADIRF	0.0	1e-06
ADK	5.1549907	0.5348798
ADM	3.0886896	1.3294419
ADM2	3.7637951	1.0581608
ADM5	0.7947602	0.60066
ADNP	7.600806	0.5560336
ADNP2	5.2221093	0.5811911
ADO	5.0340996	0.44240424
ADORA1	3.5976071	1.4998246
ADORA2A	0.2497304	0.30963945
ADORA2A-AS1	0.4499049	0.47141302
ADORA2B	1.7733754	0.9084027
ADORA3	2.5192318	0.81672937
ADPGK	5.783091	0.4140658
ADPRH	3.7468698	0.6278169
ADPRHL1	2.9658399	0.82500434
ADPRM	2.815564	0.45217875
ADRA1A	0.30019572	0.41673008
ADRA1B	0.9646907	0.81037575
ADRA1D	0.372704	0.4948193
ADRA2A	4.0090756	1.4358299
ADRA2B	0.9434506	0.67254835
ADRA2C	1.7995805	1.2635036
ADRB1	0.7219531	1.0060455
ADRB2	1.6457996	0.8601989
ADRB3	0.07072659	0.16975217
ADRM1	5.349323	0.68486935
ADSL	2.4701698	0.5014667
ADSS1	2.8798757	0.9085487
ADSS2	6.3450108	0.6139156
ADTRP	1.2403214	0.97888803
AEBP1	9.150291	1.2906157
AEBP2	4.982573	0.5476427
AEN	4.7834425	0.55516076
AFAP1	3.4993458	0.7035062
AFAP1L1	3.663173	0.70723397
AFAP1L2	4.4576797	1.1091172
AFDN	6.9281754	0.9209052
AFDN-DT	0.8091916	0.5578018
AFF1	6.459401	0.7995475
AFF2	1.2345511	0.8770036
AFF3	5.945491	2.353328
AFF4	7.236814	0.8153588
AFG1L	2.6126328	0.4537561
AFG3L1P	3.55679	0.60516095
AFG3L2	5.5353827	0.644907
AFM	0.01376108	0.072255366
AFMID	5.0989842	0.77784806
AFP	0.73614734	1.19397
AFTPH	6.6266994	0.5476546
AGA	4.8529634	0.6185027
AGAP1	5.739927	0.66622883
AGAP11	0.0912971	0.12154889
AGAP2	2.345831	0.8290883
AGAP3	6.131126	0.61814564
AGAP4	1.486105	0.5051135
AGAP6	0.4120381	0.2844463
AGAP7P	0.36332095	0.43818018
AGBL1	0.057330295	0.22887354
AGBL2	1.4073846	0.7246515
AGBL4	0.9470873	0.59315395
AGBL5	5.003264	0.571991
AGER	1.8348198	0.75527656
AGFG1	6.3251424	0.5521565
AGFG2	4.2730727	0.65675473
AGGF1	4.384591	0.47510198
AGK	4.9286976	0.4509346
AGL	5.815736	1.2283909
AGMAT	1.8002425	0.66741663
AGMO	0.46680406	0.49759716
AGO1	5.9528704	0.5011664
AGO2	5.958215	0.89121795
AGO3	4.7996264	0.5798972
AGO4	4.9122005	0.59959704
AGPAT1	5.1538315	0.47194365
AGPAT2	5.5982537	0.9145674
AGPAT3	6.909294	0.48780954
AGPAT4	3.2803667	0.9220824
AGPAT5	5.0894527	0.74155736
AGPS	5.6383405	0.9562043
AGR2	7.6557627	2.9992642
AGR3	5.3638105	2.914925
AGRN	7.698052	0.89454263
AGRP	0.100412965	0.10402868
AGT	3.0832543	1.7969173
AGTPBP1	4.064329	0.7292152
AGTR1	2.715323	2.2714684
AGTR2	0.047048926	0.1753836
AGTRAP	5.7092366	0.6752339
AGXT	0.18202402	0.49773008
AGXT2	0.2776874	0.37957802
AHCTF1	6.304583	0.6583228
AHCY	7.3950524	0.64116454
AHCYL1	7.619892	0.59035015
AHCYL2	5.0083594	0.7539189
AHDC1	5.320252	0.6599281
AHI1	4.4332323	0.6718232
AHNAK	10.299209	0.97707254
AHNAK2	5.1366315	1.3842645
AHR	5.674571	0.93134797
AHRR	0.18660343	0.21009548
AHSA1	6.6564636	0.52380913
AHSA2P	4.7260327	0.88909394
AHSG	0.037368067	0.18568422
AHSP	0.030185595	0.082886934
AICDA	0.1405559	0.39445382
AIDA	4.9781284	0.60061604
AIF1	4.2704897	0.8832264
AIF1L	5.236503	1.5035542
AIFM1	5.9403863	0.5112063
AIFM2	4.329313	0.74360824
AIFM3	1.2431016	0.6420084
AIG1	5.51054	0.70675904
AIM2	1.2939447	1.0380849
AIMP1	6.0254984	0.45918065
AIMP2	3.8220406	0.4646247
AIP	5.4847345	0.70705235
AIPL1	0.04173343	0.20584758
AIRE	0.07247903	0.12678833
AJAP1	0.98095024	0.78399026
AJM1	2.468422	0.9016681
AJUBA	4.449379	0.9301262
AK1	2.492452	0.6215487
AK2	7.046404	0.44586465
AK3	5.8066835	0.5683066
AK4	5.0813427	1.3744467
AK5	2.8895535	1.7101971
AK7	1.4024423	0.8345635
AK8	2.3289135	0.9025701
AK9	3.14652	0.7531255
AKAIN1	0.01741237	0.08436513
AKAP1	6.5001183	0.7438101
AKAP10	4.9308186	0.62814105
AKAP11	5.967444	0.79925334
AKAP12	4.7102723	1.2423723
AKAP13	6.7527795	0.71712685
AKAP14	0.1584974	0.40917188
AKAP17A	4.397965	0.5812991
AKAP3	1.1811553	0.68283963
AKAP4	0.005715176	0.031401478
AKAP5	3.0935378	1.2058251
AKAP6	1.9637579	0.8424204
AKAP7	2.8875916	0.64524406
AKAP8	5.214514	0.41358015
AKAP8L	5.000722	0.55112845
AKAP9	6.9445972	0.9528666
AKIP1	4.0148344	0.49410588
AKIRIN1	5.915767	0.5410051
AKIRIN2	5.1690125	0.4612634
AKNA	5.0500927	0.8812015
AKNAD1	0.45549873	0.35321042
AKR1A1	6.9317183	0.542587
AKR1B1	5.0664587	0.8554038
AKR1B10	0.82758886	1.3596436
AKR1B15	0.98998106	1.3655132
AKR1C1	2.2671812	1.4894292
AKR1C2	2.315142	1.7462376
AKR1C3	3.5879369	1.2892536
AKR1C4	0.05083779	0.11462325
AKR1C6P	0.07007657	0.18442784
AKR1C8P	0.06458048	0.1280982
AKR1D1	0.24966988	0.6158258
AKR1E2	1.4722654	1.002262
AKR7A2	5.735978	0.6483109
AKR7A2P1	0.07862566	0.14013705
AKR7A3	3.5494044	2.051782
AKR7L	1.3265607	0.82365704
AKT1	7.075774	0.6377521
AKT1S1	5.9379706	0.5237154
AKT2	7.1106625	0.54938287
AKT3	4.8095727	1.1820911
AKTIP	4.774804	0.50505936
ALAD	5.9882016	0.6417003
ALAS1	5.6367154	0.46425644
ALAS2	0.10563847	0.18283784
ALB	1.4022946	1.9089339
ALCAM	7.4173036	1.3520544
ALDH16A1	4.6099834	0.8070253
ALDH18A1	7.137749	0.5105782
ALDH1A1	4.140578	1.2458501
ALDH1A2	1.4995075	0.96381086
ALDH1A3	2.9829254	1.2142888
ALDH1B1	5.4867587	0.70296013
ALDH1L1	1.1869823	1.0759603
ALDH1L2	4.0712266	1.1600013
ALDH2	5.985588	1.1625353
ALDH3A1	0.50910807	0.95023453
ALDH3A2	6.299708	0.95709985
ALDH3B1	3.9157383	0.8559935
ALDH3B2	5.868808	2.0684474
ALDH4A1	5.1718273	0.98176587
ALDH5A1	4.628318	1.0042872
ALDH6A1	5.336428	0.8389112
ALDH7A1	6.3507643	0.5999039
ALDH8A1	0.76568127	0.5473144
ALDH9A1	6.9997125	0.6185795
ALDOA	3.250389	0.87126136
ALDOB	0.26074168	0.39520353
ALDOC	3.078458	1.2935756
ALG1	4.6106863	0.558896
ALG10	2.3379185	0.5727219
ALG10B	3.956244	0.77180725
ALG11	2.8995764	0.6918107
ALG12	3.6949508	0.5481398
ALG13	4.858223	0.5073543
ALG14	3.7088528	0.4662728
ALG1L	0.931527	0.96873087
ALG1L2	0.57678616	0.3812167
ALG1L9P	1.0110834	0.46631005
ALG2	5.418966	0.4655546
ALG3	5.7234173	0.6311
ALG5	5.08479	0.5263306
ALG6	4.463157	0.5477978
ALG8	5.815738	0.84902674
ALG9	2.8803148	0.5049901
ALK	0.44140613	0.5636882
ALKAL1	0.044328585	0.24521583
ALKAL2	0.46129146	0.8621805
ALKBH1	3.8152275	0.4734297
ALKBH2	4.025974	0.60440356
ALKBH3	4.0523663	0.7625962
ALKBH4	3.5898366	0.5284431
ALKBH5	6.6746554	0.43306205
ALKBH6	1.1005225	0.4738541
ALKBH7	4.8722363	0.88842815
ALKBH8	3.557428	0.5911764
ALLC	0.03638636	0.097332306
ALMS1	5.446142	0.6781707
ALMS1P1	1.0945164	0.6261009
ALOX12	1.0851527	0.5570856
ALOX12B	0.23761566	0.3641504
ALOX12P2	1.2014414	1.0371478
ALOX15	1.2776123	1.2761606
ALOX15B	3.070693	2.2443197
ALOX5	4.333954	1.0277555
ALOX5AP	4.0510287	0.969139
ALOXE3	0.888674	0.79149693
ALPG	0.026654366	0.0995231
ALPI	0.020949619	0.18519403
ALPK1	4.731594	0.68995005
ALPK2	1.3421352	0.81627023
ALPK3	3.109129	0.7604191
ALPL	3.7995687	1.3046621
ALPP	0.059957635	0.27266845
ALS2	4.9989142	0.51216984
ALS2CL	3.3578923	0.98234975
ALX1	0.16777939	0.41377607
ALX3	0.11027658	0.2781033
ALX4	1.274507	1.1797969
ALYREF	5.704682	0.8139032
AMACR	1.0368165	0.41402656
AMBN	0.015718417	0.15638115
AMBP	1.0513558	1.0492803
AMBRA1	5.665299	0.43041444
AMD1	6.2957754	0.82685316
AMDHD1	1.0138425	0.88493377
AMDHD2	3.6912186	0.80080754
AMELX	0.020350602	0.21229051
AMELY	0.00034074194	0.008484869
AMER1	3.4814405	0.8192287
AMER2	0.18489116	0.64620036
AMER3	0.19397384	0.75038326
AMFR	7.329969	0.82920235
AMH	1.2028687	1.0544516
AMHR2	0.16884862	0.22617243
AMIGO1	3.6397338	0.8232571
AMIGO2	4.9112043	1.5403655
AMIGO3	0.003332238	0.011066977
AMMECR1	4.440603	0.8336613
AMMECR1L	5.397074	0.4371613
AMN	0.3925554	0.5399189
AMN1	2.3963454	0.64890784
AMOT	5.0659423	1.0974683
AMOTL1	5.1676645	1.1053282
AMOTL2	5.7640038	0.8318487
AMPD1	0.5000662	0.56419206
AMPD2	4.984863	0.5516135
AMPD3	3.8583026	0.73635
AMPH	2.6746716	1.3900961
AMT	0.26841897	0.22492781
AMTN	0.28104615	0.765766
AMY1A	0.005909729	0.019311765
AMY2A	0.069740355	0.31361216
AMY2B	2.1299183	0.9242262
AMZ1	1.8680757	1.308988
AMZ2	6.369364	0.63776076
AMZ2P1	3.6286385	0.6603507
ANAPC1	4.5543895	0.6438278
ANAPC10	2.184641	0.37616822
ANAPC11	5.9692836	0.8098382
ANAPC13	5.8165197	0.496755
ANAPC15	2.2633448	0.4604048
ANAPC16	6.654522	0.46514273
ANAPC2	5.424666	0.61955255
ANAPC4	4.691507	0.41618416
ANAPC5	7.032774	0.37481505
ANAPC7	5.6403203	0.42551026
ANG	2.5727282	0.89153796
ANGEL1	4.7183785	0.55979
ANGEL2	5.4604187	0.5799304
ANGPT1	2.0277958	1.021729
ANGPT2	3.7021558	0.84547997
ANGPT4	0.43741938	0.40201628
ANGPTL1	1.6905127	1.0322783
ANGPTL2	5.862307	1.0871105
ANGPTL3	0.12775944	0.3114625
ANGPTL4	3.411645	1.5476377
ANGPTL5	0.15022409	0.2379535
ANGPTL6	0.38920704	0.26759952
ANGPTL7	0.36066714	0.67777723
ANGPTL8	0.20913345	0.3160326
ANHX	0.006843435	0.06141386
ANK1	1.4238808	1.3635395
ANK2	3.53711	1.133522
ANK3	5.410675	1.0400683
ANKAR	1.6099668	0.49934062
ANKDD1A	2.1158211	0.5389265
ANKDD1B	0.45782188	0.33737674
ANKEF1	4.4175773	0.81451166
ANKFN1	0.56775504	0.819808
ANKFY1	5.9279613	0.72969794
ANKH	6.3266916	0.9596877
ANKHD1	1.4304775	0.4793339
ANKHD1-EIF4EBP3	0.907695	0.39051345
ANKK1	0.7555886	0.57010937
ANKLE1	0.76753056	0.65424377
ANKLE2	6.4529357	0.40565318
ANKMY1	3.9696703	0.71540946
ANKMY2	4.210673	0.5819476
ANKRA2	4.0392303	0.6732562
ANKRD1	0.51993877	0.836283
ANKRD10	6.25496	0.6896365
ANKRD11	6.2431426	0.6071777
ANKRD12	5.7999306	0.7350901
ANKRD13A	5.5841002	0.4624021
ANKRD13B	3.606291	0.9697526
ANKRD13C	4.9056664	0.4426636
ANKRD13D	5.3139663	0.735765
ANKRD16	3.3017282	0.5394627
ANKRD17	7.093986	0.6818147
ANKRD18DP	0.042831127	0.11678814
ANKRD19P	0.9666653	0.47010738
ANKRD2	0.32171395	0.37223217
ANKRD20A1	0.06721497	0.10271445
ANKRD20A11P	0.68207455	0.80054784
ANKRD20A3P	0.0066674207	0.0266505
ANKRD20A9P	0.067747556	0.22868158
ANKRD22	3.061652	1.1663343
ANKRD23	0.8909598	0.46941456
ANKRD24	1.468145	0.8212322
ANKRD26	4.104811	0.8390958
ANKRD26P1	0.061634865	0.26251918
ANKRD27	5.480754	0.63953704
ANKRD28	5.9527717	0.647338
ANKRD29	2.1450424	1.1208618
ANKRD30A	3.9022827	2.7589612
ANKRD30B	2.246957	1.9470749
ANKRD30BL	0.036055516	0.107666835
ANKRD30BP2	0.011401692	0.10186471
ANKRD30BP3	0.06870824	0.19594498
ANKRD31	0.7429494	0.48985907
ANKRD33	0.039961603	0.15756758
ANKRD34A	1.1096299	0.6320637
ANKRD34B	0.2603124	0.5374092
ANKRD34C	0.09523849	0.23340265
ANKRD35	1.7936438	1.0451969
ANKRD36	2.2217	0.82955253
ANKRD36B	1.5104105	0.7050261
ANKRD36BP2	1.4807782	1.1353714
ANKRD37	1.8397799	0.56484896
ANKRD39	2.2746105	0.48605022
ANKRD40	5.554117	0.75335854
ANKRD40CL	0.051755045	0.08205365
ANKRD42	4.059203	0.7892735
ANKRD44	3.809907	0.8923398
ANKRD45	0.26452246	0.34360322
ANKRD46	4.6985292	0.713718
ANKRD49	3.858169	0.5382837
ANKRD50	6.1936245	1.0177959
ANKRD53	0.7581589	0.44543505
ANKRD54	4.6530123	0.511342
ANKRD55	0.31163716	0.34676144
ANKRD6	2.9130368	0.723339
ANKRD62	0.07839456	0.18932293
ANKRD65	2.6240032	1.0517211
ANKRD66	0.05644189	0.22167206
ANKRD7	0.21866138	0.33826965
ANKRD9	4.1700478	0.8184761
ANKS1A	5.69929	0.56406987
ANKS1B	3.0229142	1.051575
ANKS3	4.074192	0.79032147
ANKS4B	0.07553168	0.2766634
ANKS6	3.142102	1.1536372
ANKZF1	5.022541	0.56497794
ANLN	5.0967026	1.280004
ANO1	6.48069	1.3748591
ANO10	5.6033287	0.49381408
ANO2	1.5089858	1.0630167
ANO3	0.7843346	1.1600765
ANO4	0.40889025	0.52155954
ANO5	1.5367794	1.4171358
ANO6	6.625914	0.69774413
ANO7	1.5892898	0.88770944
